CountryCode,State_Cap,StateName,StateCode,SateAbbv
US,ALABAMA,Alabama,AL,Ala.
US,ALASKA,Alaska,AK,Alaska
US,ARIZONA,Arizona,AZ,Ariz.
US,ARKANSAS,Arkansas,AR,Ark.
US,CALIFORNIA,California,CA,Calif.
US,COLORADO,Colorado,CO,Colo.
US,CONNECTICUT,Connecticut,CT,Conn.
US,DELAWARE,Delaware,DE,Del.
US,FLORIDA,Florida,FL,Fla.
US,GEORGIA,Georgia,GA,Ga.
US,HAWAII,Hawaii,HI,Hawaii
US,IDAHO,Idaho,ID,Idaho
US,ILLINOIS,Illinois,IL,Ill.
US,INDIANA,Indiana,IN,Ind.
US,IOWA,Iowa,IA,Iowa
US,KANSAS,Kansas,KS,Kan.
US,KENTUCKY,Kentucky,KY,Ky.
US,LOUISIANA,Louisiana,LA,La.
US,MAINE,Maine,ME,Maine
US,MARYLAND,Maryland,MD,Md.
US,MASSACHUSETTS,Massachusetts,MA,Mass.
US,MICHIGAN,Michigan,MI,Mich.
US,MINNESOTA,Minnesota,MN,Minn.
US,MISSISSIPPI,Mississippi,MS,Miss.
US,MISSOURI,Missouri,MO,Mo.
US,MONTANA,Montana,MT,Mont.
US,NEBRASKA,Nebraska,NE,Neb.
US,NEVADA,Nevada,NV,Nev.
US,NEW HAMPSHIRE,New Hampshire,NH,N.H.
US,NEW JERSEY,New Jersey,NJ,N.J.
US,NEW MEXICO,New Mexico,NM,N.M.
US,NEW YORK,New York,NY,N.Y.
US,NORTH CAROLINA,North Carolina,NC,N.C.
US,NORTH DAKOTA,North Dakota,ND,N.D.
US,OHIO,Ohio,OH,Ohio
US,OKLAHOMA,Oklahoma,OK,Okla.
US,OREGON,Oregon,OR,Ore.
US,PENNSYLVANIA,Pennsylvania,PA,Pa.
US,RHODE ISLAND,Rhode Island,RI,R.I.
US,SOUTH CAROLINA,South Carolina,SC,S.C.
US,SOUTH DAKOTA,South Dakota,SD,S.D.
US,TENNESSEE,Tennessee,TN,Tenn.
US,TEXAS,Texas,TX,Texas
US,UTAH,Utah,UT,Utah
US,VERMONT,Vermont,VT,Vt.
US,VIRGINIA,Virginia,VA,Va.
US,WASHINGTON,Washington,WA,Wash.
US,WEST VIRGINIA,West Virginia,WV,W.Va.
US,WISCONSIN,Wisconsin,WI,Wis.
US,WYOMING,Wyoming,WY,Wyo.
